AGE (yrs),AGE_2 (yrs),d18O
159750,159875,-57.9
160000,160125,-58.33
160250,160375,-58.49
160500,160625,-58.88
160750,160875,-58.08
161000,161125,-58.3
161250,161375,-58.79
161500,161625,-58.75
161750,161875,-58.96
162000,162125,-59.57
162250,162375,-58.99
162500,162625,-58.41
162750,162875,-57.96
163000,163125,-57.55
163250,163375,-57.59
163500,163625,-57.78
163750,163875,-58.4
164000,164125,-58.23
164250,164375,-58.04
164500,164625,-58.64
164750,164875,-58.58
165000,165125,-59.03
165250,165375,-59.17
165500,165625,-59.09
165750,165875,-58.92
166000,166125,-59.3
166250,166375,-58.66
166500,166625,-58.97
166750,166875,-58.38
167000,167125,-58.72
167250,167375,-58.75
167500,167625,-58.46
167750,167875,-58.39
168000,168125,-58.3
168250,168375,-57.84
168500,168625,-58.03
168750,168875,-57.62
169000,169125,-57.15
169250,169375,-57.83
169500,169625,-58.08
169750,169875,-57.61
170000,170125,-57.59
170250,170375,-57.99
170500,170625,-57.93
170750,170875,-57.59
171000,171125,-58
171250,171375,-58.49
171500,171625,-58.5
171750,171875,-58.34
172000,172125,-58.22
172250,172375,-58.03
172500,172625,-57.32
172750,172875,-57.46
173000,173125,-57.4
173250,173375,-56.75
173500,173625,-57.05
173750,173875,-57.31
174000,174125,-57.63
174250,174375,-57.4
174500,174625,-57.66
174750,174875,-57.77
175000,175125,-58.2
175250,175375,-58.16
175500,175625,-57.69
175750,175875,-57.86
176000,176125,-57.29
176250,176375,-58.02
176500,176625,-57.69
176750,176875,-58.55
177000,177125,-58.18
177250,177375,-57.85
177500,177625,-58
177750,177875,-57.62
178000,178125,-57.53
178250,178375,-56.97
178500,178625,-57.39
178750,178875,-57.65
179000,179125,-56.87
179250,179375,-57.07
179500,179625,-57.11
179750,179875,-57.29
180000,180125,-57.47
180250,180375,-57.52
180500,180625,-58.57
180750,180875,-58.78
181000,181125,-58.55
181250,181375,-59.14
181500,181625,-58.53
181750,181875,-58.47
182000,182125,-59.16
182250,182375,-58.99
182500,182625,-58.59
182750,182875,-59.18
183000,183125,-58.58
183250,183375,-58.9
183500,183625,-58.8
183750,183875,-59.05
184000,184125,-58.91
184250,184375,-59.08
184500,184625,-58.75
184750,184875,-59.66
185000,185125,-59
185250,185375,-59.17
185500,185625,-58.68
185750,185875,-58.98
186000,186125,-58.56
186250,186375,-59.56
186500,186625,-59.29
186750,186875,-59.05
187000,187125,-59.25
187250,187375,-58.67
187500,187625,-59.34
187750,187875,-58.21
188000,188125,-58.94
188250,188375,-58.86
188500,188625,-58.06
188750,188875,-58.56
189000,189125,-57.84
189250,189375,-57.69
189500,189625,-56.93
189750,189875,-57.16
190000,190125,-57.91
190250,190375,-57.71
190500,190625,-58.01
190750,190875,-57.83
191000,191125,-57.8
191250,191375,-57.96
191500,191625,-57.85
191750,191875,-57.57
192000,192125,-58.64
192250,192375,-58.71
192500,192625,-58.09
192750,192875,-57.95
193000,193125,-57.99
193250,193375,-57.33
193500,193625,-57.02
193750,193875,-57.1
194000,194125,-57.17
194250,194375,-57.16
194500,194625,-57.73
194750,194875,-57.56
195000,195125,-57.27
195250,195375,-57.64
195500,195625,-56.96
195750,195875,-57.26
196000,196125,-56.34
196250,196375,-56.35
196500,196625,-56.16
196750,196875,-56.05
197000,197125,-55.76
197250,197375,-55.82
197500,197625,-55.41
197750,197875,-55.35
198000,198125,-55.12
198250,198375,-55.06
198500,198625,-55.41
198750,198875,-54.73
199000,199125,-55.14
199250,199375,-54.83
199500,199625,-54.46
199750,199875,-54.69
200000,200125,-54.3
200250,200375,-54.75
200500,200625,-54.28
200750,200875,-54.16
201000,201125,-54.99
201250,201375,-55.07
201500,201625,-55.39
201750,201875,-55.22
202000,202125,-55.97
202250,202375,-55.59
202500,202625,-55.61
202750,202875,-55.83
203000,203125,-56.01
203250,203375,-56.44
203500,203625,-56.49
203750,203875,-56.64
204000,204125,-56.68
204250,204375,-56.98
204500,204625,-57.08
204750,204875,-56.78
205000,205125,-57.06
205250,205375,-57.37
205500,205625,-56.84
205750,205875,-57.22
206000,206125,-56.5
206250,206375,-56.48
206500,206625,-56.72
206750,206875,-56.36
207000,207125,-56.52
207250,207375,-56.33
207500,207625,-56.19
207750,207875,-56.99
208000,208125,-56.08
208250,208375,-56.58
208500,208625,-56.07
208750,208875,-56.2
209000,209125,-56.66
209250,209375,-56.31
209500,209625,-56.64
209750,209875,-55.8
210000,210125,-55.92
210250,210375,-56.39
210500,210625,-55.79
210750,210875,-55.76
211000,211125,-55.83
211250,211375,-55.48
211500,211625,-54.87
211750,211875,-55.08
212000,212125,-54.74
212250,212375,-54.99
