Age [ka BP],d18O recon [per mil] (d18O values corrected for sea...)
5.835,-45.05
5.8435,-44.35
5.8525,-44.03
5.861,-43.64
5.869,-44.76
5.8775,-44.26
5.886,-44.54
5.8945,-44.21
5.9035,-44.55
5.9125,-44.4
5.9215,-44.7
5.931,-43.45
5.9405,-42.67
5.95,-44.12
5.9595,-43.09
5.969,-44.72
5.979,-44.85
5.989,-43.25
5.9985,-44.07
6.0075,-43.79
6.0165,-45
6.0255,-45.37
6.0345,-44.22
6.0435,-42.41
6.0525,-43.18
6.0615,-43.96
6.071,-44.17
6.0805,-43.91
6.0895,-42.37
6.099,-43.4
6.1085,-44.6
6.1175,-44.78
6.127,-43.94
6.1365,-44.05
6.1455,-43.9
6.155,-44.86
6.1645,-44.15
6.1735,-44.31
6.1825,-43.02
6.192,-44.73
6.2015,-44.13
6.2105,-45.82
6.22,-44
6.2295,-43.92
6.239,-43.79
6.249,-43.67
6.2585,-44.89
6.268,-44.24
6.278,-44.92
6.2885,-44.65
6.299,-44.16
6.309,-43.36
6.3185,-45
6.328,-44.76
6.338,-43.92
6.348,-44.23
6.358,-45.51
6.3685,-44.41
6.379,-44.69
6.389,-44.04
6.399,-45.65
6.409,-44.99
6.419,-43.49
6.429,-43.39
6.4385,-43.52
6.4475,-44.17
6.4565,-43.71
6.4655,-44.45
6.475,-42.71
6.4845,-44.52
6.494,-43.92
6.5045,-43.67
6.515,-43.64
6.5255,-44.78
6.5355,-43.78
6.545,-43.87
6.5545,-44.3
6.564,-44.01
6.574,-44.85
6.584,-45.06
6.5945,-44.02
6.6055,-44.19
6.616,-43.33
6.6265,-43.76
6.637,-42.38
6.647,-44.08
6.6575,-44.02
6.668,-44.38
6.678,-43.75
6.6875,-43.24
6.697,-43.85
6.707,-43.9
6.717,-45.22
6.7265,-44.39
6.736,-44.88
6.746,-44.45
6.756,-44.77
6.7655,-43.49
6.7755,-45.02
6.786,-43.19
6.7965,-44.05
6.807,-44.14
6.817,-43.49
6.827,-44.4
6.8365,-44.41
6.846,-44.37
6.8555,-44.64
6.865,-44.15
6.8745,-43.65
6.8835,-43.85
6.892,-44.96
6.9005,-43.57
6.91,-44.37
6.9195,-44.52
6.929,-44.03
6.939,-44.2
6.9485,-44.28
6.958,-46.28
6.968,-44.58
6.978,-43.2
6.9875,-43.59
6.997,-43.95
7.007,-43.39
7.017,-44.24
7.027,-45.1
7.037,-44.44
7.047,-43.85
7.0575,-44.9
7.068,-43.6
7.078,-44.31
7.088,-44.86
7.0975,-44.81
7.1075,-44.15
7.118,-44.33
7.128,-45.38
7.138,-44.99
7.1485,-44.42
7.159,-43.75
7.17,-44.52
7.1815,-44.02
7.1925,-44.68
7.2035,-44.51
7.2145,-44
7.225,-44.99
7.2355,-44.52
7.246,-44.29
7.2565,-44.27
7.267,-45.53
7.2775,-44.33
7.288,-43.88
7.2975,-43.93
7.307,-44.53
7.3165,-44.27
7.3255,-44.95
7.335,-43.86
7.3445,-44.09
7.3545,-42.87
7.3655,-44.8
7.376,-45
7.3865,-45.94
7.397,-44.29
7.4075,-45.12
7.4185,-44.11
7.4295,-44.34
7.44,-44.42
7.4505,-46.05
7.461,-43.5
7.471,-44.43
7.481,-44.69
7.491,-44.45
7.501,-44.42
7.511,-45.59
7.521,-44.09
7.531,-44.51
7.5405,-44.7
7.5495,-43.73
7.559,-44.48
7.5685,-44.48
7.5775,-44.15
7.587,-44.31
7.5965,-44.39
7.606,-44.81
7.6155,-44.36
7.6245,-44.46
7.6345,-43.38
7.645,-45.07
7.655,-44.97
7.6655,-45.46
7.676,-45.4
7.6855,-45.4
