Age [ka BP],d18O recon [per mil] (d18O values corrected for sea...)
102.86,-45.75
102.934,-46.24
103.01,-46.18
103.088,-46.66
103.1675,-46.41
103.248,-47.06
103.3305,-47.37
103.416,-48.19
103.5025,-48.25
103.59,-47.72
103.6775,-47.71
103.764,-47.74
103.8495,-48.42
103.9335,-47.76
104.0165,-47.97
104.1,-48.08
104.182,-48.27
104.262,-47.62
104.3425,-47.6
104.423,-48.31
104.503,-47.74
104.5825,-47.7
104.659,-47.5
104.7335,-47.58
104.8075,-47.63
104.8805,-47.55
104.9525,-47.1
105.024,-46.99
105.095,-47.91
105.1645,-47.33
105.2345,-47.19
105.3055,-47.26
105.38,-47.62
105.458,-47.5
105.5375,-46.87
105.618,-47.24
105.6985,-47.74
105.78,-47.47
105.86,-46.91
105.938,-47.53
106.016,-47.79
106.0935,-48.01
106.1705,-47.14
106.2475,-46.57
106.3235,-46.6
106.398,-47.4
106.471,-47.11
106.543,-46.75
106.615,-47.07
106.6865,-47.16
106.762,-46.77
106.842,-46.4
106.9205,-47.1
106.9975,-47.39
107.0755,-47.24
107.154,-46.97
107.233,-47.7
107.313,-47.22
107.3935,-46.89
107.4745,-47.6
107.5545,-47.48
107.6335,-47.35
107.713,-47.19
107.7935,-47.35
107.8755,-48.62
107.9585,-48.6
108.0415,-48.34
108.124,-48.43
108.2075,-48.93
108.2925,-49.3
108.3775,-49.26
108.4625,-49.65
108.547,-49.18
108.631,-48.91
108.7145,-49.12
108.798,-49.1
108.882,-49.02
108.9655,-49.38
109.05,-48.87
109.1355,-49.19
109.2185,-48.89
109.3,-48.95
109.383,-48.75
109.467,-48.47
109.55,-48.98
109.632,-48.75
109.7145,-48.73
109.797,-48.47
109.881,-48.45
109.967,-48.43
110.05,-48.33
110.13,-47.85
110.2125,-48.38
110.298,-48.42
110.3805,-48.11
110.46,-47.92
110.541,-48.09
110.6235,-48.58
110.7055,-48.28
110.7865,-48.61
110.8665,-48.15
110.946,-48.49
111.026,-48.72
111.106,-48.01
111.1845,-47.84
111.2615,-47.23
111.3395,-47.71
111.419,-48.11
111.497,-47.66
111.573,-47.85
111.649,-47.94
111.725,-47.89
111.802,-47.8
111.8805,-47.55
111.9605,-47.35
112.042,-47.56
112.125,-47.38
112.2085,-47.19
112.2935,-47.19
112.3805,-46.97
112.466,-47.37
112.5495,-46.9
112.6305,-46.81
112.7095,-46.43
112.7895,-47.28
112.8705,-47.29
112.9495,-47.02
113.026,-47.29
113.1015,-46.64
113.1765,-47.3
113.25,-46.66
113.3215,-47.31
113.394,-47.32
113.4675,-47.99
113.5395,-47.37
113.6105,-47.06
113.681,-47.44
113.751,-47.71
113.8185,-47.14
113.883,-46.97
113.947,-47.33
114.011,-46.84
114.074,-46.99
114.1355,-47.28
114.198,-46.73
114.2615,-47.68
114.324,-47.1
114.386,-46.45
114.4485,-46.49
114.511,-46.52
114.574,-47.06
114.638,-46.97
114.699,-47.1
114.757,-46.73
114.814,-45.96
114.87,-46.99
114.9265,-46.38
114.9835,-46.11
115.0385,-46.7
115.0915,-45.44
115.1455,-45.75
115.2005,-45.92
115.255,-45.83
115.309,-45.54
115.3655,-45.42
115.4245,-45.13
115.484,-45.85
115.5445,-45.76
115.606,-46.32
115.668,-46.32
115.731,-46.58
115.7955,-45.78
115.861,-45.84
115.927,-45.65
115.9935,-45.7
116.061,-45.62
116.13,-45.54
116.1995,-45.6
116.2675,-45.56
116.3345,-46.04
116.401,-44.83
116.467,-44.8
116.534,-44.67
116.6025,-44.55
116.6705,-44.74
116.7375,-44.53
116.805,-44.84
116.873,-44.01
116.9405,-43.61
117.007,-43.43
117.073,-44.1
117.1395,-44.07
117.2055,-44.13
117.27,-44.08
117.3345,-45.05
117.3985,-44.56
117.463,-44.04
117.5275,-43.77
117.592,-44.48
117.658,-43.95
117.7245,-44.09
117.791,-43.24
117.859,-44.41
117.929,-43.56
117.9975,-43.59
118.0645,-43.55
118.1345,-43.12
118.2075,-42.72
118.2825,-42.23
118.3595,-42.61
118.436,-42.28
118.5115,-42.08
118.5895,-42.42
118.67,-42.44
118.749,-42.66
118.827,-42.48
118.903,-42.02
118.9775,-41.98
119.051,-42.81
119.125,-42.46
119.199,-42.36
119.273,-43.01
119.347,-42.42
119.421,-42.27
119.495,-42.93
119.569,-42.61
119.6395,-42.49
119.707,-42.3
119.7735,-42.06
119.8385,-42.48
119.905,-42.25
119.973,-41.94
120.04,-42
120.106,-42.13
120.171,-42.66
120.2345,-42.38
120.2965,-42.44
120.358,-42.37
120.421,-42.1
120.4845,-42.52
120.548,-42.52
120.6125,-42.56
120.6765,-42.37
120.74,-42.7
120.802,-41.94
120.862,-42.67
120.9205,-42.54
120.978,-42.52
121.035,-42.45
121.0905,-42.15
121.146,-41.67
121.2015,-42.07
121.2575,-42.41
121.3145,-42.17
121.3715,-41.63
121.4285,-41.98
121.484,-41.33
121.5385,-41.36
121.5955,-41.84
121.654,-41.47
121.7135,-41.03
121.774,-41.73
121.836,-41.41
121.9,-41.79
121.968,-40.97
122.04,-41.12
122.114,-41.29
122.1895,-41.73
122.2655,-40.86
122.343,-41.45
122.4245,-40.93
122.5095,-41.07
122.595,-41.17
122.6805,-41.45
122.766,-40.42
122.852,-40.61
122.9405,-40.53
123.0315,-40.18
123.1245,-41.02
123.2195,-41.09
123.316,-40.85
123.414,-41.33
123.5115,-40.58
123.609,-40.59
123.7055,-41.13
123.8,-40.63
123.894,-40.58
123.988,-41.06
124.081,-41.03
124.1735,-40.86
124.2625,-41.11
124.348,-40.35
124.435,-39.84
124.5235,-40.49
124.6135,-40.37
124.705,-40.14
124.7945,-40.61
124.881,-40.58
124.9675,-40.82
125.054,-40.97
125.1395,-40.81
125.224,-40.74
125.3075,-40.79
125.3905,-40.76
125.472,-40.44
125.552,-40.5
125.6335,-40.59
125.716,-40.96
125.7995,-41.28
125.884,-40.66
125.967,-41.34
126.049,-40.65
126.131,-41.42
126.213,-41.01
126.295,-40.48
126.377,-41.22
126.462,-41.32
126.55,-40.99
126.635,-41.25
126.717,-40.96
126.797,-40.95
126.875,-41.4
126.9525,-40.96
127.0295,-41.47
127.108,-40.69
127.1885,-40.99
127.271,-40.38
127.355,-40.28
127.4395,-40.66
127.5245,-40.61
127.6105,-40.41
127.697,-40.4
127.783,-39.91
127.8685,-39.87
127.953,-39.81
128.0365,-40.15
128.122,-40.24
128.2105,-40.51
128.2995,-40.17
128.3885,-40.5
128.4795,-40.47
128.5725,-40.4
128.6695,-40.25
128.771,-39.92
128.878,-40.46
128.9905,-40.64
129.104,-40.78
129.2185,-40.74
129.337,-40.99
129.4595,-40.97
129.585,-41.16
129.7135,-41.43
129.843,-41.04
129.9735,-41.73
130.108,-41.85
130.246,-41.75
130.3885,-41.98
130.535,-42.25
130.6875,-42.72
130.847,-42.83
131.009,-42.87
131.173,-43.32
131.3405,-43.73
131.511,-43.76
131.688,-44.04
131.8715,-44.62
132.056,-44.55
132.242,-44.64
132.43,-44.98
132.62,-44.89
132.8145,-45.52
133.014,-45.43
133.215,-46.4
133.417,-46.57
133.626,-46.54
133.842,-47.14
134.066,-47.47
134.298,-47.83
134.5375,-48.59
134.7845,-48.79
135.0475,-48.95
135.3265,-50.21
135.6095,-50.14
135.896,-49.97
136.1915,-50.13
136.496,-50.46
136.799,-50.6
137.101,-50.35
137.401,-51.19
137.699,-51.66
137.9985,-51.58
138.3,-51.44
138.608,-51.9
138.9225,-51.88
139.236,-51.36
139.5485,-51.55
139.861,-51.58
140.1725,-51.16
140.481,-51.05
140.787,-50.72
141.093,-50.61
141.3985,-50.72
141.695,-50.57
141.983,-50.85
142.2735,-50.65
142.567,-50.71
142.854,-50.99
143.134,-50.99
143.4125,-51.28
143.6895,-51.21
143.963,-50.89
144.2335,-50.86
144.5,-50.78
144.7625,-51.05
145.0215,-50.92
145.277,-50.79
145.535,-50.98
145.795,-50.99
146.046,-50.78
146.288,-50.81
146.52,-50.82
146.742,-50.7
146.963,-50.57
147.183,-51.06
147.4075,-51.39
147.6365,-51.48
147.853,-51.37
148.057,-51.27
148.258,-50.6
148.456,-50.87
148.657,-50.42
148.861,-50.7
149.0645,-50.74
149.268,-50.5
149.4645,-50.47
149.654,-50.77
149.8375,-50.85
150.015,-50.57
