AGE (yrs),dD,est. d18O
58842,-468.4,-59.6687898089
58925,-467.9,-59.6050955414
59008,-469.1,-59.7579617834
59093,-471.3,-60.0382165605
59178,-470.7,-59.9617834395
59262,-468,-59.6178343949
59345,-467.9,-59.6050955414
59428,-469,-59.7452229299
59511,-468,-59.6178343949
59593,-466,-59.3630573248
59674,-466,-59.3630573248
59755,-466,-59.3630573248
59836,-467.7,-59.5796178344
59921,-471.8,-60.101910828
60007,-472,-60.127388535
60093,-469.7,-59.8343949045
60177,-469.5,-59.8089171975
60262,-470,-59.872611465
60348,-471.5,-60.0636942675
60433,-470.6,-59.949044586
60519,-470.5,-59.9363057325
60605,-472,-60.127388535
60692,-472.3,-60.1656050955
60779,-472.5,-60.1910828025
60869,-476.7,-60.7261146497
60961,-477.7,-60.8535031847
61052,-474.7,-60.4713375796
61141,-473.7,-60.3439490446
61229,-472,-60.127388535
61317,-474.1,-60.3949044586
61406,-474,-60.3821656051
61496,-474.8,-60.4840764331
